Request Index,Request Time (Seconds),vendor1 API Available,vendor2 API Available,vendor3 API Available,vendor1 Is Down,vendor2 Is Down,vendor3 Is Down,vendor1 CTM Success Percent,vendor2 CTM Success Percent,vendor3 CTM Success Percent,vendor1 FTM Failure Percent,vendor2 FTM Failure Percent,vendor3 FTM Failure Percent,vendor1 Traffic Ratio,vendor2 Traffic Ratio,vendor3 Traffic Ratio,Vendors tried
66,85,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
67,86,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
68,86,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
69,86,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
70,86,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
71,87,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
72,88,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
73,90,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
74,90,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
75,92,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
76,93,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
77,94,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
78,94,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
79,95,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
80,95,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
81,95,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
82,96,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
83,97,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
84,97,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
